epoch,accuracy,loss,val_accuracy,val_loss
0,0.7269999980926514,0.81436687707901,0.8525000214576721,0.3413081765174866
1,0.8349999785423279,0.3988425135612488,0.8700000047683716,0.32565605640411377
2,0.8809999823570251,0.30501288175582886,0.8899999856948853,0.2926124930381775
3,0.8989999890327454,0.2713632881641388,0.8199999928474426,0.40155911445617676
4,0.9259999990463257,0.2172027826309204,0.831250011920929,0.5544517040252686
5,0.9350000023841858,0.17533481121063232,0.8987500071525574,0.3320033550262451
6,0.9309999942779541,0.19125041365623474,0.8987500071525574,0.3651885688304901
7,0.9359999895095825,0.16536016762256622,0.8849999904632568,0.37269076704978943
8,0.9610000252723694,0.09867890179157257,0.8712499737739563,0.46938246488571167
9,0.9629999995231628,0.10147752612829208,0.8962500095367432,0.3557665944099426
